2025-06-12 10:05:34.271 [restartedMain] [] INFO  com.example.order.OrderApplication - Starting OrderApplication using Java 17.0.2 with PID 64134 (/Users/eastsoft/Documents/Development/LuciusGithub/JavaProject/SpringCloudExample/order/target/classes started by eastsoft in /Users/eastsoft/Documents/Development/LuciusGithub/JavaProject/SpringCloudExample)
2025-06-12 10:05:34.273 [restartedMain] [] INFO  com.example.order.OrderApplication - The following 1 profile is active: "mac"
2025-06-12 10:05:34.383 [restartedMain] [] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-06-12 10:05:34.383 [restartedMain] [] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-06-12 10:05:34.655 [restartedMain] [] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-12 10:05:34.655 [restartedMain] [] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-12 10:05:34.663 [restartedMain] [] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 JPA repository interfaces.
2025-06-12 10:05:34.796 [restartedMain] [] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-06-12 10:05:34.797 [restartedMain] [] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-06-12 10:05:34.806 [restartedMain] [] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2025-06-12 10:05:35.098 [restartedMain] [] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.alibaba.druid.spring.boot3.autoconfigure.stat.DruidSpringAopConfiguration' of type [com.alibaba.druid.spring.boot3.autoconfigure.stat.DruidSpringAopConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-06-12 10:05:35.109 [restartedMain] [] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.druid-com.alibaba.druid.spring.boot3.autoconfigure.properties.DruidStatProperties' of type [com.alibaba.druid.spring.boot3.autoconfigure.properties.DruidStatProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-06-12 10:05:35.114 [restartedMain] [] WARN  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'advisor' of type [org.springframework.aop.support.RegexpMethodPointcutAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [projectingArgumentResolverBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-06-12 10:05:35.272 [restartedMain] [] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8004 (http)
2025-06-12 10:05:35.279 [restartedMain] [] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8004"]
2025-06-12 10:05:35.280 [restartedMain] [] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-06-12 10:05:35.281 [restartedMain] [] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2025-06-12 10:05:35.320 [restartedMain] [] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-06-12 10:05:35.320 [restartedMain] [] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 937 ms
2025-06-12 10:05:35.379 [restartedMain] [] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2025-06-12 10:05:38.326 [restartedMain] [] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2025-06-12 10:05:38.386 [restartedMain] [] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-12 10:05:38.412 [restartedMain] [] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-06-12 10:05:38.431 [restartedMain] [] INFO  o.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-06-12 10:05:38.537 [restartedMain] [] INFO  o.s.o.j.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-06-12 10:05:38.731 [restartedMain] [] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-12 10:05:38.733 [restartedMain] [] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-12 10:05:38.972 [restartedMain] [] INFO  com.example.order.config.rebbitmq.RabbitMqConfig - 重试也失败的消息！
2025-06-12 10:05:39.017 [restartedMain] [] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-06-12 10:05:39.070 [restartedMain] [] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerMapping - 3 mappings in 'requestMappingHandlerMapping'
2025-06-12 10:05:39.127 [restartedMain] [] DEBUG o.s.web.servlet.handler.SimpleUrlHandlerMapping - Patterns [/webjars/**, /**] in 'resourceHandlerMapping'
2025-06-12 10:05:39.148 [restartedMain] [] DEBUG o.s.w.s.m.m.a.RequestMappingHandlerAdapter - ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice
2025-06-12 10:05:39.166 [restartedMain] [] DEBUG o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - ControllerAdvice beans: 0 @ExceptionHandler, 1 ResponseBodyAdvice
2025-06-12 10:05:39.322 [restartedMain] [] WARN  o.s.b.d.autoconfigure.OptionalLiveReloadServer - Unable to start LiveReload server
2025-06-12 10:05:39.338 [restartedMain] [] INFO  com.xxl.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job register jobhandler success, name:cleanExpiredOrders, jobHandler:com.xxl.job.core.handler.impl.MethodJobHandler@45f478dc[class com.example.order.component.OrderCleanupJob$$SpringCGLIB$$0#cleanExpiredOrders]
2025-06-12 10:05:39.383 [restartedMain] [] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8004"]
2025-06-12 10:05:39.392 [restartedMain] [] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8004 (http) with context path ''
2025-06-12 10:05:39.394 [restartedMain] [] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.22.180:5672]
2025-06-12 10:05:39.410 [Thread-9] [] INFO  com.xxl.job.core.server.EmbedServer - >>>>>>>>>>> xxl-job remoting server start success, nettype = class com.xxl.job.core.server.EmbedServer, port = 9999
2025-06-12 10:05:39.414 [restartedMain] [] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#7046c2dc:0/SimpleConnection@4e0455b9 [delegate=amqp://rabbitmq@192.168.22.180:5672/, localPort=59319]
2025-06-12 10:05:39.418 [restartedMain] [] INFO  org.springframework.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable or auto-delete Exchange (demo_exchange) durable:false, auto-delete:false. It will be deleted by the broker if it shuts down, and can be redeclared by closing and reopening the connection.
2025-06-12 10:05:39.478 [restartedMain] [] INFO  com.example.order.OrderApplication - Started OrderApplication in 5.668 seconds (process running for 6.066)
